,cnpj,inscrição estadual - cce ,nome empresarial,contribuinte?,atividade econômica,situação cadastral vigente,data desta situação cadastral,data de cadastramento,inscrição estadual,contribuinte
184,1981349000114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,91156901000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,4540960000103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,62201116000146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,11115471000161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,7757642000189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,7172800000139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,95063343000101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,6558000184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,8209941000141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,96573803000104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,50187889000136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,60893195000178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,82949371000189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,5601374000186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,58733585000562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,2165825000191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,1949507000159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,3676785000105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,4299229000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,2555908000197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,4821956000105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,6076766000136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,8293719000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,10942652000107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,12321171000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,14718337000143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,51086080000180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,4423567000121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,8232799000153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,11086466000178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,12040975000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,12044460000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,13197891000160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,13199340000135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,75120279000146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,4506236000155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,8350493000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,17677343000198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,2338823000157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,14811848000105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,2414858000128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,2783009000141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,4697050000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,8247215000113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,9239112000174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,10197200000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,56563729000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,3691766000158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,1733629000103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,680835000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,10738770000190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,12593859000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,77574176000181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,1806966000183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,2228295000183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,59527424000151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,9029442000135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,102912000174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,4879176000116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,61655395000155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,61089868000102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,2171763000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,1141767000101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
248,7433912000104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,20379004000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,60850799000137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,5672854000138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,3058510000108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,24587586000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,10761389000141,10.487.157-1,toksan comercio de veiculos e pecas ltda. me,sim,"4520001 - serviços de manutenção e reparação mecânica de veículos automotores | atividade secundária | atividade principal | 4511101 - comércio a varejo de automóveis, camionetas e utilitários novos",suspenso - não habilitado,2020-03-20,2010-12-03,NULL,NULL
255,10606618000153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,25332198000131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,65573719000167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,3446310000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,5994759000150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,5696948000147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,93826360000128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,52769684000194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,4032707000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,81875213000169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,11418447000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,9425028000145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,1881601000113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,58528761000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,4400905000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,8955364000137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,73674632000104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,274682000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,61535266000123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,10498783000139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,4738856000110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,5051838000128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,11230614000186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,3424767000136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,2637265000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,2992308000196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,6114122000195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,20466389000172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,4481225000168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,9595294000116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,3377294000163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,2975285000101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,29041324000150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,43337203000180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,7825739000181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,2976206000187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,4914372000184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,82500752000186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,41738832000197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,7670979000154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,9120896000117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,4892671000165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,7111938000128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,2681115000203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,16401168000149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
